timestamp,rule_id,rule_level,rule_description,srcip,agent,label,campaign_type
2026-07-13T15:31:22.127+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:31:22.172+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:31:22.172+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:31:22.172+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:31:22.172+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:31:22.172+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:32:12.149+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:32:12.166+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:32:12.166+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:32:12.166+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:32:12.166+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:32:12.166+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:32:12.167+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:32:12.167+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:32:12.167+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:32:26.161+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:32:26.204+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:32:26.205+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:32:26.205+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:32:26.205+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:32:26.205+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:32:50.186+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:32:50.229+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:32:50.229+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:33:00.189+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:33:00.233+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:33:00.233+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:33:34.204+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:33:34.249+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:33:34.249+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:35:26.748+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:35:26.748+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:35:26.748+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:36:19.155+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:19.157+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:19.157+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
